voting,models,model_count,exact_match_accuracy,mean_label_accuracy,diabetes_accuracy,hypertension_accuracy,obesity_accuracy,diabetes_f1,hypertension_f1,obesity_f1,overall_f1
hard,logistic_regression + gradient_boosting,2,0.6936170212765957,0.8638297872340425,0.8170212765957446,0.774468085106383,1.0,0.6386554621848739,0.0,1.0,0.5462184873949579
hard,svm + logistic_regression + gradient_boosting,3,0.6936170212765957,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6333333333333333,0.0,1.0,0.5444444444444444
hard,svm + ridge_classifier + gradient_boosting,3,0.6936170212765957,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6333333333333333,0.0,1.0,0.5444444444444444
hard,svm + logistic_regression + ridge_classifier + gradient_boosting,4,0.6936170212765957,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6333333333333333,0.0,1.0,0.5444444444444444
hard,knn + svm + decision_tree + gradient_boosting + sgd_classifier,5,0.6936170212765957,0.8624113475177304,0.8170212765957446,0.774468085106383,0.9957446808510638,0.6194690265486725,0.07017543859649122,0.9934640522875817,0.5610361724775818
hard,knn + svm + logistic_regression + decision_tree + gradient_boosting + sgd_classifier,6,0.6936170212765957,0.8624113475177304,0.8170212765957446,0.774468085106383,0.9957446808510638,0.6194690265486725,0.07017543859649122,0.9934640522875817,0.5610361724775818
hard,knn + svm + ridge_classifier + decision_tree + gradient_boosting + sgd_classifier,6,0.6936170212765957,0.8624113475177304,0.8170212765957446,0.774468085106383,0.9957446808510638,0.6194690265486725,0.07017543859649122,0.9934640522875817,0.5610361724775818
hard,knn + svm + logistic_regression + decision_tree + gradient_boosting,5,0.6936170212765957,0.8609929078014185,0.8085106382978723,0.774468085106383,1.0,0.6153846153846154,0.07017543859649122,1.0,0.5618533513270355
hard,knn + svm + ridge_classifier + decision_tree + gradient_boosting,5,0.6936170212765957,0.8609929078014185,0.8085106382978723,0.774468085106383,1.0,0.6153846153846154,0.07017543859649122,1.0,0.5618533513270355
hard,knn + svm + logistic_regression + ridge_classifier + decision_tree + gradient_boosting,6,0.6936170212765957,0.8609929078014185,0.8085106382978723,0.774468085106383,1.0,0.6153846153846154,0.07017543859649122,1.0,0.5618533513270355
hard,knn + svm + naive_bayes + logistic_regression + gradient_boosting,5,0.6936170212765957,0.8595744680851064,0.8127659574468085,0.7659574468085106,1.0,0.6206896551724138,0.09836065573770492,1.0,0.573016770303373
hard,svm + gradient_boosting + sgd_classifier,3,0.6893617021276596,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6379310344827587,0.0,0.9934640522875817,0.5437983622567801
hard,svm + logistic_regression + gradient_boosting + sgd_classifier,4,0.6893617021276596,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6379310344827587,0.0,0.9934640522875817,0.5437983622567801
hard,svm + ridge_classifier + gradient_boosting + sgd_classifier,4,0.6893617021276596,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6379310344827587,0.0,0.9934640522875817,0.5437983622567801
hard,knn + decision_tree + gradient_boosting,3,0.6893617021276596,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6,0.07017543859649122,1.0,0.5567251461988304
hard,knn + logistic_regression + decision_tree + gradient_boosting,4,0.6893617021276596,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6,0.07017543859649122,1.0,0.5567251461988304
hard,knn + svm + naive_bayes + decision_tree + gradient_boosting,5,0.6893617021276596,0.8624113475177305,0.8170212765957446,0.7702127659574468,1.0,0.6126126126126126,0.03571428571428571,1.0,0.5494422994422994
hard,knn + svm + naive_bayes + logistic_regression + decision_tree + gradient_boosting,6,0.6893617021276596,0.8624113475177305,0.8170212765957446,0.7702127659574468,1.0,0.6126126126126126,0.03571428571428571,1.0,0.5494422994422994
hard,knn + svm + naive_bayes + gradient_boosting + sgd_classifier,5,0.6893617021276596,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.6071428571428571,0.1,0.9934640522875817,0.5668689698101462
hard,knn + svm + naive_bayes + logistic_regression + gradient_boosting + sgd_classifier,6,0.6893617021276596,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.6071428571428571,0.1,0.9934640522875817,0.5668689698101462
hard,knn + svm + logistic_regression + decision_tree + extra_trees + gradient_boosting + sgd_classifier,7,0.6893617021276596,0.8567375886524822,0.8127659574468085,0.7617021276595745,0.9957446808510638,0.6206896551724138,0.125,0.9934640522875817,0.5797179024866651
hard,knn + svm + ridge_classifier + decision_tree + extra_trees + gradient_boosting + sgd_classifier,7,0.6893617021276596,0.8567375886524822,0.8127659574468085,0.7617021276595745,0.9957446808510638,0.6206896551724138,0.125,0.9934640522875817,0.5797179024866651
hard,knn + svm + logistic_regression + ridge_classifier + decision_tree + extra_trees + gradient_boosting + sgd_classifier,8,0.6893617021276596,0.8567375886524822,0.8127659574468085,0.7617021276595745,0.9957446808510638,0.6206896551724138,0.125,0.9934640522875817,0.5797179024866651
hard,decision_tree + extra_trees + gradient_boosting,3,0.6851063829787234,0.8638297872340425,0.825531914893617,0.7659574468085106,1.0,0.6019417475728155,0.09836065573770492,1.0,0.5667674677701734
hard,svm + decision_tree + gradient_boosting + sgd_classifier,4,0.6851063829787234,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6111111111111112,0.0,0.9934640522875817,0.5348583877995643
hard,knn + svm + random_forest + decision_tree + gradient_boosting,5,0.6851063829787234,0.8638297872340425,0.8127659574468085,0.7787234042553192,1.0,0.5925925925925926,0.07142857142857142,1.0,0.554673721340388
hard,knn + svm + random_forest + logistic_regression + decision_tree + gradient_boosting,6,0.6851063829787234,0.8638297872340425,0.8127659574468085,0.7787234042553192,1.0,0.5925925925925926,0.07142857142857142,1.0,0.554673721340388
hard,knn + svm + random_forest + ridge_classifier + decision_tree + gradient_boosting,6,0.6851063829787234,0.8638297872340425,0.8127659574468085,0.7787234042553192,1.0,0.5925925925925926,0.07142857142857142,1.0,0.554673721340388
hard,svm + decision_tree + gradient_boosting,3,0.6851063829787234,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6140350877192983,0.0,1.0,0.5380116959064328
hard,svm + logistic_regression + decision_tree + gradient_boosting,4,0.6851063829787234,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6140350877192983,0.0,1.0,0.5380116959064328
hard,svm + ridge_classifier + decision_tree + gradient_boosting,4,0.6851063829787234,0.8624113475177305,0.8127659574468085,0.774468085106383,1.0,0.6140350877192983,0.0,1.0,0.5380116959064328
hard,ridge_classifier + gradient_boosting,2,0.6851063829787234,0.8595744680851064,0.8170212765957446,0.774468085106383,0.9872340425531915,0.6386554621848739,0.0,0.9801324503311258,0.5395959708386666
hard,knn + svm + logistic_regression + gradient_boosting + sgd_classifier,5,0.6851063829787234,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.639344262295082,0.12903225806451613,0.9934640522875817,0.5872801908823932
hard,knn + svm + ridge_classifier + gradient_boosting + sgd_classifier,5,0.6851063829787234,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.639344262295082,0.12903225806451613,0.9934640522875817,0.5872801908823932
hard,knn + svm + logistic_regression + ridge_classifier + gradient_boosting + sgd_classifier,6,0.6851063829787234,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.639344262295082,0.12903225806451613,0.9934640522875817,0.5872801908823932
hard,knn + svm + random_forest + naive_bayes + logistic_regression + extra_trees + gradient_boosting,7,0.6851063829787234,0.8595744680851064,0.8127659574468085,0.7659574468085106,1.0,0.6071428571428571,0.15384615384615385,1.0,0.586996336996337
hard,knn + svm + naive_bayes + logistic_regression + decision_tree + extra_trees + gradient_boosting,7,0.6851063829787234,0.8581560283687942,0.8170212765957446,0.7574468085106383,1.0,0.6194690265486725,0.12307692307692308,1.0,0.5808486498751986
hard,knn + logistic_regression + gradient_boosting,3,0.6851063829787234,0.8567375886524822,0.8085106382978723,0.7617021276595745,1.0,0.64,0.125,1.0,0.5883333333333334
hard,knn + logistic_regression + decision_tree + extra_trees + gradient_boosting,5,0.6851063829787234,0.8567375886524822,0.8127659574468085,0.7574468085106383,1.0,0.6271186440677966,0.12307692307692308,1.0,0.5833985223815733
hard,knn + svm + logistic_regression + ridge_classifier + gradient_boosting,5,0.6851063829787234,0.8567375886524822,0.8085106382978723,0.7617021276595745,1.0,0.64,0.125,1.0,0.5883333333333334
hard,knn + svm + logistic_regression + extra_trees + gradient_boosting,5,0.6851063829787234,0.8553191489361702,0.8042553191489362,0.7659574468085106,0.9957446808510638,0.5964912280701754,0.09836065573770492,0.9934640522875817,0.5627719786984874
hard,knn + svm + naive_bayes + ridge_classifier + gradient_boosting,5,0.6851063829787234,0.8553191489361702,0.8127659574468085,0.7659574468085106,0.9872340425531915,0.6206896551724138,0.09836065573770492,0.9801324503311258,0.5663942537470815
hard,knn + svm + naive_bayes + logistic_regression + ridge_classifier + gradient_boosting,6,0.6851063829787234,0.8553191489361702,0.8127659574468085,0.7659574468085106,0.9872340425531915,0.6206896551724138,0.09836065573770492,0.9801324503311258,0.5663942537470815
hard,svm + random_forest + decision_tree + extra_trees + gradient_boosting,5,0.6808510638297872,0.8652482269503546,0.8212765957446808,0.774468085106383,1.0,0.58,0.07017543859649122,1.0,0.5500584795321637
hard,gradient_boosting + sgd_classifier,2,0.6808510638297872,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6181818181818182,0.0,0.9934640522875817,0.5372152901564666
hard,random_forest + decision_tree + gradient_boosting,3,0.6808510638297872,0.8638297872340425,0.825531914893617,0.7659574468085106,1.0,0.5684210526315789,0.09836065573770492,1.0,0.5555939027897613
